,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,712921000.0,712765000.0,506246000.0,490878000.0,
Ordinary Shares Number,2406922000.0,2407078000.0,2613597000.0,2628965000.0,
Share Issued,3119843000.0,3119843000.0,3119843000.0,3119843000.0,
Net Debt,12529000000.0,7473000000.0,26753000000.0,19264000000.0,
Total Debt,36634000000.0,29332000000.0,39642000000.0,33751000000.0,
Tangible Book Value,-10328000000.0,-1959000000.0,2268000000.0,-7615000000.0,
Invested Capital,108124000000.0,98106000000.0,116446000000.0,107774000000.0,
Working Capital,5572000000.0,7213000000.0,-508000000.0,15753000000.0,
Net Tangible Assets,-10328000000.0,-1959000000.0,2268000000.0,-7615000000.0,
Common Stock Equity,71490000000.0,68774000000.0,76804000000.0,74023000000.0,
Total Capitalization,102141000000.0,94655000000.0,103690000000.0,104008000000.0,
Total Equity Gross Minority Interest,71490000000.0,68774000000.0,76804000000.0,74023000000.0,
Stockholders Equity,71490000000.0,68774000000.0,76804000000.0,74023000000.0,
Gains Losses Not Affecting Retained Earnings,-11741000000.0,-12527000000.0,-12967000000.0,-13058000000.0,
Other Equity Adjustments,-11741000000.0,-12527000000.0,-12967000000.0,-13058000000.0,
Treasury Stock,75680000000.0,75662000000.0,41694000000.0,39099000000.0,
Retained Earnings,,153843000000.0,128345000000.0,123060000000.0,113890000000.0
Additional Paid In Capital,155791000000.0,153843000000.0,128345000000.0,123060000000.0,
Capital Stock,3120000000.0,3120000000.0,3120000000.0,3120000000.0,
Common Stock,3120000000.0,3120000000.0,3120000000.0,3120000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,108614000000.0,98784000000.0,110574000000.0,107995000000.0,
Total Non Current Liabilities Net Minority Interest,58293000000.0,52502000000.0,54772000000.0,62769000000.0,
Other Non Current Liabilities,17549000000.0,13398000000.0,10146000000.0,10686000000.0,
Liabilities Heldfor Sale Non Current,,0.0,2901000000.0,,
Employee Benefits,7255000000.0,7149000000.0,6542000000.0,8898000000.0,
Tradeand Other Payables Non Current,390000000.0,2881000000.0,4306000000.0,5713000000.0,
Non Current Deferred Liabilities,2448000000.0,3193000000.0,3991000000.0,7487000000.0,
Non Current Deferred Taxes Liabilities,2448000000.0,3193000000.0,3991000000.0,7487000000.0,
Long Term Debt And Capital Lease Obligation,30651000000.0,25881000000.0,26886000000.0,29985000000.0,
Long Term Debt,30651000000.0,25881000000.0,26886000000.0,29985000000.0,
Current Liabilities,50321000000.0,46282000000.0,55802000000.0,45226000000.0,
Other Current Liabilities,,,3590000000.0,,
Current Debt And Capital Lease Obligation,5983000000.0,3451000000.0,12756000000.0,3766000000.0,
Current Debt,5983000000.0,3451000000.0,12756000000.0,3766000000.0,
Pensionand Other Post Retirement Benefit Plans Current,4126000000.0,3993000000.0,3049000000.0,3586000000.0,
Payables And Accrued Expenses,40212000000.0,38838000000.0,36407000000.0,37874000000.0,
Current Accrued Expenses,26129000000.0,26213000000.0,24298000000.0,25707000000.0,
Payables,14083000000.0,12625000000.0,12109000000.0,12167000000.0,
Total Tax Payable,3772000000.0,2993000000.0,2220000000.0,1112000000.0,
Income Tax Payable,3772000000.0,2993000000.0,2220000000.0,1112000000.0,
Accounts Payable,10311000000.0,9632000000.0,9889000000.0,11055000000.0,
Total Assets,180104000000.0,167558000000.0,187378000000.0,182018000000.0,
Total Non Current Assets,124211000000.0,114063000000.0,132084000000.0,121039000000.0,
Other Non Current Assets,11414000000.0,14153000000.0,30619000000.0,10216000000.0,
Non Current Deferred Assets,10461000000.0,9279000000.0,8947000000.0,10223000000.0,
Non Current Deferred Taxes Assets,10461000000.0,9279000000.0,8947000000.0,10223000000.0,
Goodwill And Other Intangible Assets,81818000000.0,70733000000.0,74536000000.0,81638000000.0,
Other Intangible Assets,37618000000.0,34175000000.0,38489000000.0,46392000000.0,
Goodwill,44200000000.0,36558000000.0,36047000000.0,35246000000.0,
Net PPE,20518000000.0,19898000000.0,17982000000.0,18962000000.0,
Accumulated Depreciation,-28250000000.0,-27878000000.0,-25552000000.0,-28717000000.0,
Gross PPE,48768000000.0,47776000000.0,43534000000.0,47679000000.0,
Construction In Progress,6289000000.0,5627000000.0,4677000000.0,4139000000.0,
Machinery Furniture Equipment,29444000000.0,28979000000.0,26603000000.0,29774000000.0,
Buildings And Improvements,12317000000.0,12375000000.0,11470000000.0,12882000000.0,
Land And Improvements,718000000.0,795000000.0,784000000.0,884000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,55893000000.0,53495000000.0,55294000000.0,60979000000.0,
Other Current Assets,,,,3701000000.0,3132000000.0
Assets Held For Sale Current,,0.0,5830000000.0,,0.0
Prepaid Assets,,,,3701000000.0,3132000000.0
Inventory,12444000000.0,11181000000.0,10268000000.0,10387000000.0,
Finished Goods,7292000000.0,6874000000.0,6972000000.0,6508000000.0,
Work In Process,2815000000.0,1952000000.0,1577000000.0,2287000000.0,
Raw Materials,2337000000.0,2355000000.0,1719000000.0,1592000000.0,
Receivables,18927000000.0,19387000000.0,16915000000.0,18984000000.0,
Other Receivables,4085000000.0,4514000000.0,2876000000.0,3701000000.0,
Accounts Receivable,14842000000.0,14873000000.0,14039000000.0,15283000000.0,
Allowance For Doubtful Accounts Receivable,-167000000.0,-166000000.0,-169000000.0,-230000000.0,
Gross Accounts Receivable,15009000000.0,15039000000.0,14208000000.0,15513000000.0,
Cash Cash Equivalents And Short Term Investments,24522000000.0,22927000000.0,22281000000.0,31608000000.0,
Other Short Term Investments,417000000.0,1068000000.0,9392000000.0,17121000000.0,
Cash And Cash Equivalents,24105000000.0,21859000000.0,12889000000.0,14487000000.0,
Cash Equivalents,21187000000.0,18519000000.0,9198000000.0,,
Cash Financial,2918000000.0,3340000000.0,3691000000.0,,
