,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1121765000.0,-1035230000.0,-162932000.0,-79848000.0
Tax Rate For Calcs,0.157,0.115,0.154,0.072
Normalized EBITDA,31926000000.0,32322000000.0,27663000000.0,27860000000.0
Total Unusual Items,-7145000000.0,-9002000000.0,-1058000000.0,-1109000000.0
Total Unusual Items Excluding Goodwill,-7145000000.0,-9002000000.0,-1058000000.0,-1109000000.0
Net Income From Continuing Operation Net Minority Interest,14066000000.0,13326000000.0,16370000000.0,17801000000.0
Reconciled Depreciation,7339000000.0,7486000000.0,6970000000.0,7390000000.0
Reconciled Cost Of Revenue,27471000000.0,26553000000.0,24596000000.0,23402000000.0
EBITDA,24781000000.0,23320000000.0,26605000000.0,26751000000.0
EBIT,17442000000.0,15834000000.0,19635000000.0,19361000000.0
Net Interest Income,577000000.0,489000000.0,214000000.0,-130000000.0
Interest Expense,755000000.0,772000000.0,276000000.0,183000000.0
Interest Income,1332000000.0,1261000000.0,490000000.0,53000000.0
Normalized Income,20089235000.0,21292770000.0,17265068000.0,18830152000.0
Net Income From Continuing And Discontinued Operation,14066000000.0,35153000000.0,17941000000.0,20878000000.0
Total Expenses,66672000000.0,61750000000.0,58977000000.0,57797000000.0
Diluted Average Shares,2429400000.0,2560400000.0,2663900000.0,2674000000.0
Basic Average Shares,2406922000.0,2407078000.0,2613597000.0,2628965000.0
Diluted EPS,5.79,13.72,6.73,7.81
Basic EPS,5.843978,14.604014,6.862158,7.930572
Diluted NI Availto Com Stockholders,14066000000.0,35153000000.0,17941000000.0,20878000000.0
Net Income Common Stockholders,14066000000.0,35153000000.0,17941000000.0,20878000000.0
Net Income,14066000000.0,35153000000.0,17941000000.0,20878000000.0
Net Income Including Noncontrolling Interests,14066000000.0,35153000000.0,17941000000.0,20878000000.0
Net Income Discontinuous Operations,0.0,21827000000.0,1571000000.0,3077000000.0
Net Income Continuous Operations,14066000000.0,13326000000.0,16370000000.0,17801000000.0
Tax Provision,2621000000.0,1736000000.0,2989000000.0,1377000000.0
Pretax Income,16687000000.0,15062000000.0,19359000000.0,19178000000.0
Other Income Expense,-6045000000.0,-8802000000.0,-1868000000.0,-1635000000.0
Other Non Operating Income Expenses,1100000000.0,200000000.0,-810000000.0,-526000000.0
Special Income Charges,-6845000000.0,-8402000000.0,-1058000000.0,-1109000000.0
Other Special Charges,5600000000.0,7300000000.0,2600000000.0,2300000000.0
Impairment Of Capital Assets,211000000.0,313000000.0,783000000.0,900000000.0
Restructuring And Mergern Acquisition,1034000000.0,789000000.0,275000000.0,209000000.0
Gain On Sale Of Security,-300000000.0,-600000000.0,-700000000.0,500000000.0
Net Non Operating Interest Income Expense,577000000.0,489000000.0,214000000.0,-130000000.0
Interest Expense Non Operating,755000000.0,772000000.0,276000000.0,183000000.0
Interest Income Non Operating,1332000000.0,1261000000.0,490000000.0,53000000.0
Operating Income,22149000000.0,23409000000.0,21013000000.0,20943000000.0
Operating Expense,39201000000.0,35197000000.0,34381000000.0,34395000000.0
Research And Development,17232000000.0,15085000000.0,14135000000.0,14277000000.0
Selling General And Administration,21969000000.0,20112000000.0,20246000000.0,20118000000.0
General And Administrative Expense,21969000000.0,20112000000.0,20246000000.0,20118000000.0
Other Gand A,22869000000.0,21512000000.0,20246000000.0,20118000000.0
Salaries And Wages,-900000000.0,-1400000000.0,-1200000000.0,-600000000.0
Gross Profit,61350000000.0,58606000000.0,55394000000.0,55338000000.0
Cost Of Revenue,27471000000.0,26553000000.0,24596000000.0,23402000000.0
Total Revenue,88821000000.0,85159000000.0,79990000000.0,78740000000.0
Operating Revenue,88821000000.0,85159000000.0,79990000000.0,78740000000.0
