,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Free Cash Flow,12660000000.0,15120000000.0,11984000000.0,11075000000.0,
Repurchase Of Capital Stock,-4494000000.0,-2779000000.0,-9920000000.0,-9787000000.0,
Repayment Of Debt,-3468000000.0,-4217000000.0,-2689000000.0,-13010000000.0,
Issuance Of Debt,0.0,4967000000.0,5041000000.0,6945000000.0,
Capital Expenditure,-23783000000.0,-20606000000.0,-16857000000.0,-13106000000.0,
Interest Paid Supplemental Data,2739000000.0,2519000000.0,2051000000.0,2237000000.0,
Income Tax Paid Supplemental Data,5884000000.0,5879000000.0,3310000000.0,5918000000.0,
End Cash Position,9536000000.0,9935000000.0,8841000000.0,14834000000.0,
Other Cash Adjustment Outside Changein Cash,,0.0,0.0,1848000000.0,-1848000000.0
Beginning Cash Position,9935000000.0,8841000000.0,14834000000.0,17788000000.0,
Effect Of Exchange Rate Changes,-641000000.0,69000000.0,-73000000.0,-140000000.0,
Changes In Cash,242000000.0,1025000000.0,-5920000000.0,-4662000000.0,
Financing Cash Flow,-14822000000.0,-13414000000.0,-17039000000.0,-22828000000.0,
Cash Flow From Continuing Financing Activities,-14822000000.0,-13414000000.0,-17039000000.0,-22828000000.0,
Net Other Financing Charges,-2384000000.0,-5757000000.0,-3323000000.0,-1017000000.0,
Cash Dividends Paid,-6688000000.0,-6140000000.0,-6114000000.0,-6152000000.0,
Common Stock Dividend Paid,-6688000000.0,-6140000000.0,-6114000000.0,-6152000000.0,
Net Common Stock Issuance,-4494000000.0,-2779000000.0,-9920000000.0,-9787000000.0,
Common Stock Payments,-4494000000.0,-2779000000.0,-9920000000.0,-9787000000.0,
Net Issuance Payments Of Debt,-1256000000.0,1262000000.0,2318000000.0,-5872000000.0,
Net Short Term Debt Issuance,2212000000.0,512000000.0,-34000000.0,193000000.0,
Short Term Debt Payments,,,,,-324000000.0
Net Long Term Debt Issuance,-3468000000.0,750000000.0,2352000000.0,-6065000000.0,
Long Term Debt Payments,-3468000000.0,-4217000000.0,-2689000000.0,-13010000000.0,
Long Term Debt Issuance,0.0,4967000000.0,5041000000.0,6945000000.0,
Investing Cash Flow,-21379000000.0,-21287000000.0,-17722000000.0,-6015000000.0,
Cash Flow From Continuing Investing Activities,-21379000000.0,-21287000000.0,-17722000000.0,-6015000000.0,
Net Other Investing Changes,-212000000.0,-922000000.0,-295000000.0,-879000000.0,
Net Investment Purchase And Sale,4080000000.0,0.0,0.0,,
Sale Of Investment,4080000000.0,0.0,0.0,,
Net Business Purchase And Sale,-1896000000.0,-9000000.0,-740000000.0,7576000000.0,
Sale Of Business,,135000000.0,0.0,7935000000.0,56000000.0
Purchase Of Business,-1896000000.0,-9000000.0,-740000000.0,-359000000.0,
Net PPE Purchase And Sale,-23351000000.0,-20356000000.0,-16687000000.0,-12712000000.0,
Sale Of PPE,432000000.0,250000000.0,170000000.0,394000000.0,
Purchase Of PPE,-23783000000.0,-20606000000.0,-16857000000.0,-13106000000.0,
Operating Cash Flow,36443000000.0,35726000000.0,28841000000.0,24181000000.0,
Cash Flow From Continuing Operating Activities,36443000000.0,35726000000.0,28841000000.0,24181000000.0,
Change In Working Capital,181000000.0,1943000000.0,2553000000.0,-6597000000.0,
Change In Payables And Accrued Expense,4042000000.0,723000000.0,2841000000.0,6963000000.0,
Change In Accrued Expense,379000000.0,-1324000000.0,4393000000.0,1404000000.0,
Change In Payable,3663000000.0,2047000000.0,-1552000000.0,5559000000.0,
Change In Account Payable,3228000000.0,2515000000.0,-1425000000.0,5520000000.0,
Change In Tax Payable,435000000.0,-468000000.0,-127000000.0,39000000.0,
Change In Income Tax Payable,435000000.0,-468000000.0,-127000000.0,39000000.0,
Change In Inventory,-2755000000.0,2017000000.0,-528000000.0,-11764000000.0,
Change In Receivables,-1106000000.0,-797000000.0,240000000.0,-1796000000.0,
Other Non Cash Items,2889000000.0,2642000000.0,1919000000.0,1652000000.0,
Unrealized Gain Loss On Investment Securities,,,,,-8589000000.0
Deferred Tax,-635000000.0,-175000000.0,449000000.0,-755000000.0,
Deferred Income Tax,-635000000.0,-175000000.0,449000000.0,-755000000.0,
Depreciation Amortization Depletion,12973000000.0,11853000000.0,10945000000.0,10658000000.0,
Depreciation And Amortization,12973000000.0,11853000000.0,10945000000.0,10658000000.0,
Operating Gains Losses,878000000.0,3193000000.0,1683000000.0,5283000000.0,
Pension And Employee Benefit Expense,,,,0.0,0.0
Gain Loss On Investment Securities,878000000.0,3193000000.0,1683000000.0,2440000000.0,
Gain Loss On Sale Of PPE,,,,2440000000.0,-8589000000.0
Gain Loss On Sale Of Business,,0.0,0.0,433000000.0,8401000000.0
Net Income From Continuing Operations,20157000000.0,16270000000.0,11292000000.0,13940000000.0,
