,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.33,0.33,0.33,0.31,
Normalized EBITDA,73311000000.0,74273000000.0,102591000000.0,52788000000.0,
Net Income From Continuing Operation Net Minority Interest,33680000000.0,36010000000.0,55740000000.0,23040000000.0,
Reconciled Depreciation,23442000000.0,20641000000.0,24040000000.0,20607000000.0,
Reconciled Cost Of Revenue,262505000000.0,250555000000.0,295608000000.0,211806000000.0,
EBITDA,73311000000.0,74273000000.0,102591000000.0,52788000000.0,
EBIT,49869000000.0,53632000000.0,78551000000.0,32181000000.0,
Net Interest Income,-996000000.0,-849000000.0,-798000000.0,-947000000.0,
Interest Expense,996000000.0,849000000.0,798000000.0,947000000.0,
Normalized Income,33680000000.0,36010000000.0,55740000000.0,23040000000.0,
Net Income From Continuing And Discontinued Operation,33680000000.0,36010000000.0,55740000000.0,23040000000.0,
Total Expenses,299595000000.0,290236000000.0,334647000000.0,252673000000.0,
Diluted Average Shares,4298000000.0,4052000000.0,4205000000.0,4275000000.0,
Basic Average Shares,4295918367.0,4050618673.0,4203619910.0,4274582560.0,
Diluted EPS,7.84,8.89,13.26,5.39,
Basic EPS,7.84,8.89,13.26,5.39,
Diluted NI Availto Com Stockholders,33680000000.0,36010000000.0,55740000000.0,23040000000.0,
Net Income Common Stockholders,33680000000.0,36010000000.0,55740000000.0,23040000000.0,
Net Income,33680000000.0,36010000000.0,55740000000.0,23040000000.0,
Minority Interests,-1383000000.0,-1344000000.0,-1837000000.0,-558000000.0,
Net Income Including Noncontrolling Interests,35063000000.0,37354000000.0,57577000000.0,23598000000.0,
Net Income Continuous Operations,35063000000.0,37354000000.0,57577000000.0,23598000000.0,
Tax Provision,13810000000.0,15429000000.0,20176000000.0,7636000000.0,
Pretax Income,48873000000.0,52783000000.0,77753000000.0,31234000000.0,
Other Income Expense,10217000000.0,9171000000.0,14523000000.0,8162000000.0,
Other Non Operating Income Expenses,4023000000.0,2786000000.0,3060000000.0,1505000000.0,
Earnings From Equity Interest,6194000000.0,6385000000.0,11463000000.0,6657000000.0,
Net Non Operating Interest Income Expense,-996000000.0,-849000000.0,-798000000.0,-947000000.0,
Interest Expense Non Operating,996000000.0,849000000.0,798000000.0,947000000.0,
Operating Income,39652000000.0,44461000000.0,64028000000.0,24019000000.0,
Operating Expense,37090000000.0,39681000000.0,39039000000.0,40867000000.0,
Other Operating Expenses,826000000.0,751000000.0,1025000000.0,1054000000.0,
Other Taxes,26288000000.0,29011000000.0,27919000000.0,30239000000.0,
Selling General And Administration,9976000000.0,9919000000.0,10095000000.0,9574000000.0,
General And Administrative Expense,9976000000.0,9919000000.0,10095000000.0,9574000000.0,
Other Gand A,9976000000.0,9919000000.0,10095000000.0,9574000000.0,
Salaries And Wages,,714000000.0,482000000.0,786000000.0,1205000000.0
Gross Profit,76742000000.0,84142000000.0,103067000000.0,64886000000.0,
Cost Of Revenue,262505000000.0,250555000000.0,295608000000.0,211806000000.0,
Total Revenue,339247000000.0,334697000000.0,398675000000.0,276692000000.0,
Operating Revenue,339247000000.0,334697000000.0,398675000000.0,276692000000.0,
