,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,263044840.0,402746136.0,414671383.0,423343707.0,
Ordinary Shares Number,749216319.0,609515023.0,597589776.0,588917452.0,
Share Issued,1012261159.0,1012261159.0,1012261159.0,1012261159.0,
Net Debt,39824000000.0,39363000000.0,42181000000.0,49870000000.0,
Total Debt,54188000000.0,52603000000.0,57277000000.0,58370000000.0,
Tangible Book Value,-13955000000.0,-27420000000.0,-26251000000.0,-25629000000.0,
Invested Capital,49711000000.0,34821000000.0,40912000000.0,42923000000.0,
Working Capital,30920000000.0,13448000000.0,19471000000.0,26674000000.0,
Net Tangible Assets,-13949000000.0,-27420000000.0,-26251000000.0,-25629000000.0,
Capital Lease Obligations,563000000.0,549000000.0,482000000.0,448000000.0,
Common Stock Equity,-3914000000.0,-17233000000.0,-15883000000.0,-14999000000.0,
Preferred Stock Equity,6000000.0,,,,
Total Capitalization,48525000000.0,29694000000.0,35787000000.0,41688000000.0,
Total Equity Gross Minority Interest,-3914000000.0,-17228000000.0,-15848000000.0,-14846000000.0,
Minority Interest,-6000000.0,5000000.0,35000000.0,153000000.0,
Stockholders Equity,-3908000000.0,-17233000000.0,-15883000000.0,-14999000000.0,
Gains Losses Not Affecting Retained Earnings,-10915000000.0,-10305000000.0,-9550000000.0,-11659000000.0,
Other Equity Adjustments,-10915000000.0,-10305000000.0,-9550000000.0,-11659000000.0,
Foreign Currency Translation Adjustments,,-134000000.0,-167000000.0,-105000000.0,
Minimum Pension Liabilities,,-10185000000.0,-9359000000.0,-11561000000.0,
Treasury Stock,32386000000.0,49549000000.0,50814000000.0,51861000000.0,
Retained Earnings,15362000000.0,27251000000.0,29473000000.0,34408000000.0,
Additional Paid In Capital,18964000000.0,10309000000.0,9947000000.0,9052000000.0,
Capital Stock,5067000000.0,5061000000.0,5061000000.0,5061000000.0,
Common Stock,5061000000.0,5061000000.0,5061000000.0,5061000000.0,
Preferred Stock,6000000.0,,,,
Total Liabilities Net Minority Interest,160277000000.0,154240000000.0,152948000000.0,153398000000.0,
Total Non Current Liabilities Net Minority Interest,63199000000.0,58413000000.0,62896000000.0,71406000000.0,
Other Non Current Liabilities,2318000000.0,2332000000.0,2211000000.0,1750000000.0,
Employee Benefits,8173000000.0,8749000000.0,8644000000.0,12632000000.0,
Non Current Pension And Other Postretirement Benefit Plans,8173000000.0,8749000000.0,8644000000.0,12632000000.0,
Non Current Deferred Liabilities,122000000.0,229000000.0,230000000.0,218000000.0,
Non Current Deferred Taxes Liabilities,122000000.0,229000000.0,230000000.0,218000000.0,
Long Term Debt And Capital Lease Obligation,52586000000.0,47103000000.0,51811000000.0,56806000000.0,
Long Term Capital Lease Obligation,153000000.0,176000000.0,141000000.0,119000000.0,
Long Term Debt,52433000000.0,46927000000.0,51670000000.0,56687000000.0,
Current Liabilities,97078000000.0,95827000000.0,90052000000.0,81992000000.0,
Other Current Liabilities,7634000000.0,4699000000.0,4060000000.0,2014000000.0,
