,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,3627000.0,10080000.0,-2100000.0,72076000.0
Tax Rate For Calcs,0.031,0.21,0.21,0.148
Normalized EBITDA,-7766000000.0,2267000000.0,-472000000.0,-662000000.0
Total Unusual Items,117000000.0,48000000.0,-10000000.0,487000000.0
Total Unusual Items Excluding Goodwill,117000000.0,48000000.0,-10000000.0,487000000.0
Net Income From Continuing Operation Net Minority Interest,-11817000000.0,-2222000000.0,-4935000000.0,-4202000000.0
Reconciled Depreciation,1836000000.0,1861000000.0,1979000000.0,2144000000.0
Reconciled Cost Of Revenue,68508000000.0,70070000000.0,63078000000.0,59237000000.0
EBITDA,-7649000000.0,2315000000.0,-482000000.0,-175000000.0
EBIT,-9485000000.0,454000000.0,-2461000000.0,-2319000000.0
Net Interest Income,-2725000000.0,-2459000000.0,-2561000000.0,-2714000000.0
Interest Expense,2725000000.0,2459000000.0,2561000000.0,2714000000.0
Normalized Income,-11930373000.0,-2259920000.0,-4927100000.0,-4616924000.0
Net Income From Continuing And Discontinued Operation,-11817000000.0,-2222000000.0,-4935000000.0,-4202000000.0
Total Expenses,77341000000.0,78615000000.0,70117000000.0,65643000000.0
Total Operating Income As Reported,-10707000000.0,-773000000.0,-3519000000.0,-2870000000.0
Diluted Average Shares,647200000.0,606100000.0,595200000.0,588000000.0
Basic Average Shares,643627451.0,605449591.0,594578313.0,587692308.0
Diluted EPS,-18.36,-3.67,-8.3,-7.15
Basic EPS,-18.36,-3.67,-8.3,-7.15
Diluted NI Availto Com Stockholders,-11875000000.0,-2222000000.0,-4935000000.0,-4202000000.0
Net Income Common Stockholders,-11875000000.0,-2222000000.0,-4935000000.0,-4202000000.0
Preferred Stock Dividends,58000000.0,,,
Net Income,-11817000000.0,-2222000000.0,-4935000000.0,-4202000000.0
Minority Interests,12000000.0,20000000.0,118000000.0,88000000.0
Net Income Including Noncontrolling Interests,-11829000000.0,-2242000000.0,-5053000000.0,-4290000000.0
Net Income Continuous Operations,-11829000000.0,-2242000000.0,-5053000000.0,-4290000000.0
Tax Provision,-381000000.0,237000000.0,31000000.0,-743000000.0
Pretax Income,-12210000000.0,-2005000000.0,-5022000000.0,-5033000000.0
Other Income Expense,1339000000.0,1275000000.0,1048000000.0,1038000000.0
Other Non Operating Income Expenses,1222000000.0,1227000000.0,1058000000.0,551000000.0
Special Income Charges,46000000.0,2000000.0,6000000.0,277000000.0
Gain On Sale Of Ppe,46000000.0,2000000.0,6000000.0,277000000.0
Gain On Sale Of Security,71000000.0,46000000.0,-16000000.0,210000000.0
Net Non Operating Interest Income Expense,-2725000000.0,-2459000000.0,-2561000000.0,-2714000000.0
Interest Expense Non Operating,2725000000.0,2459000000.0,2561000000.0,2714000000.0
Operating Income,-10824000000.0,-821000000.0,-3509000000.0,-3357000000.0
Operating Expense,8833000000.0,8545000000.0,7039000000.0,6406000000.0
Research And Development,3812000000.0,3377000000.0,2852000000.0,2249000000.0
Selling General And Administration,5021000000.0,5168000000.0,4187000000.0,4157000000.0
General And Administrative Expense,5021000000.0,5168000000.0,4187000000.0,4157000000.0
Other Gand A,5021000000.0,5168000000.0,4187000000.0,4157000000.0
Gross Profit,-1991000000.0,7724000000.0,3530000000.0,3049000000.0
Cost Of Revenue,68508000000.0,70070000000.0,63078000000.0,59237000000.0
Total Revenue,66517000000.0,77794000000.0,66608000000.0,62286000000.0
Operating Revenue,66517000000.0,77794000000.0,66608000000.0,62286000000.0
